,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
218,@brucefranksjr makes reference to it: When GOP members of #moleg trot out how #TitleIX or #CleanMissouri affects Af… https://t.co/xxFjNqmhtn,FALSE,1,brucefranksjr,4/25/2019 17:32,TRUE,NA,1.12E+18,67801509,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AJWILLIKERS,0,FALSE,FALSE,NA,NA
219,@gunsensemo1 @mdbaur @ByEdMcKinley They are not allowed to set whatever rules they want and accept all the federal… https://t.co/Un1URkvdkG,FALSE,0,gunsensemo1,4/25/2019 17:21,TRUE,1.12E+18,1.12E+18,4798314974,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JaneDueker,0,FALSE,FALSE,NA,NA
220,"RT @JaneDueker: So for all the armchair elite “opinionites” frothing at the mouth, she is on the Supreme Court who will soon decide the val…",FALSE,0,NA,4/25/2019 16:57,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LembkeJim,3,TRUE,FALSE,NA,NA
221,"RT @JaneDueker: So for all the armchair elite “opinionites” frothing at the mouth, she is on the Supreme Court who will soon decide the val…",FALSE,0,NA,4/25/2019 16:53,FALSE,NA,1.12E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",don_schaumburg,3,TRUE,FALSE,NA,NA
222,"RT @JaneDueker: So for all the armchair elite “opinionites” frothing at the mouth, she is on the Supreme Court who will soon decide the val…",FALSE,0,NA,4/25/2019 16:46,FALSE,NA,1.12E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RammerSTL,3,TRUE,FALSE,NA,NA
223,"For those who argue that systematic racism permeates every aspect of college campuses, disciplinary proceedings at… https://t.co/cwgPrGJMC4",FALSE,1,NA,4/25/2019 16:16,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JaneDueker,0,FALSE,FALSE,NA,NA
224,"Can't make the @PBICLE #EmploymentLaw forum today where Patricia Hamill is presenting on ""Representing Faculty and… https://t.co/nlfpvjxWhS",FALSE,1,NA,4/25/2019 16:10,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ConradOBrienPC,0,FALSE,FALSE,NA,NA
225,Uncertain Future For #TitleIX Guidelines On Campus Sexual Assault: https://t.co/DHzmFrW1bX https://t.co/hRfXnSY2Ua,FALSE,0,NA,4/25/2019 16:05,FALSE,NA,1.12E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",WYPublicRadio,0,FALSE,FALSE,NA,NA
226,"So for all the armchair elite “opinionites” frothing at the mouth, she is on the Supreme Court who will soon decide… https://t.co/5a7U0mFMMe",FALSE,6,NA,4/25/2019 16:00,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JaneDueker,3,FALSE,FALSE,NA,NA
227,I stand w/ Justice Ruth Bader Ginsburg who supports due process in #TitleIX proceedings &amp; acknowledges valid critic… https://t.co/d3v8ADrwa8,FALSE,10,NA,4/25/2019 15:57,TRUE,NA,1.12E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JaneDueker,2,FALSE,FALSE,NA,NA
